;t;T1;T2;T;p
407;593.5696065;304.9116355;359.1538681;304.9116355;5
408;595.0107487;304.9300898;359.1538681;304.9300898;5
409;596.4349325;304.9541004;359.2213997;304.9541004;5
411;599.2757534;304.9799836;359.2552332;304.9799836;5
412;600.7058528;304.9929352;359.289112;304.9929352;5
413;602.1209494;305.0095969;359.3060684;305.0095969;5
414;603.5371156;305.039245;359.289112;305.039245;5
415;604.9577375;305.0652157;359.3060684;305.0652157;5
416;606.3811687;305.0652157;359.289112;305.0652157;5
417;607.8189427;305.093071;359.3060684;305.093071;5
418;609.2373157;305.1135178;359.3230362;305.1135178;5
419;610.6525926;305.1339812;359.3400154;305.1339812;5
420;612.0717034;305.1600495;359.357006;305.1600495;5
421;613.4849542;305.1842799;359.3910214;305.1842799;5
422;614.9095203;305.2066671;359.374008;305.2066671;5
423;616.319801;305.2328105;359.3910214;305.2328105;5
424;617.7464299;305.2571109;359.374008;305.2571109;5
425;619.1639536;305.2795627;359.3910214;305.2795627;5
426;620.5867583;305.3076556;359.3910214;305.3076556;5
427;622.026405;305.3320281;359.4421304;305.3320281;5
428;623.4497253;305.3507922;359.4250826;305.3507922;5
429;624.8676205;305.3883622;359.4421304;305.3883622;5
430;626.2937063;305.4184585;359.4421304;305.4184585;5
431;627.7138064;305.4448222;359.374008;305.4448222;5
432;629.1357414;305.4749859;359.4591897;305.4749859;5
433;630.5555679;305.5070743;359.4080462;305.5070743;5
434;631.9773669;305.5373125;359.4250826;305.5373125;5
435;633.4029424;305.5694803;359.4591897;305.5694803;5
436;634.8226207;305.5978976;359.4591897;305.5978976;5
437;636.2510544;305.6358373;359.4762605;305.6358373;5
438;637.670687;305.66623;359.4933428;305.66623;5
439;639.0953365;305.7004657;359.4591897;305.7004657;5
440;640.5267403;305.7233153;359.4762605;305.7233153;5
441;641.9388038;305.7576284;359.4762605;305.7576284;5
442;643.3570439;305.7881681;359.4762605;305.7881681;5
443;644.7718627;305.8263948;359.4762605;305.8263948;5
444;646.1905708;305.8627638;359.4933428;305.8627638;5
445;647.6130795;305.9030221;359.4933428;305.9030221;5
446;649.0368404;305.9337382;359.5104367;305.9337382;5
447;650.4528697;305.972186;359.5104367;305.972186;5
448;651.8734028;306.0145461;359.4762605;306.0145461;5
449;653.2856429;306.0627691;359.4762605;306.0627691;5
450;654.7109199;306.1130188;359.5104367;306.1130188;5
451;656.1571671;306.149803;359.5104367;306.149803;5
452;657.5907425;306.2021676;359.5104367;306.2021676;5
453;659.0066551;306.2468602;359.5617877;306.2468602;5
454;660.4647998;306.3325801;359.5960797;306.3325801;5
455;661.8866649;306.3853253;359.5446591;306.3853253;5
456;663.3095586;306.4362211;359.5789279;306.4362211;5
457;664.7417886;306.4891833;359.5789279;306.4891833;5
458;666.1682478;306.5442245;359.5960797;306.5442245;5
459;667.6300386;306.6665297;359.5789279;306.6665297;5
460;669.0675395;306.6981887;359.5789279;306.6981887;5
461;670.4835941;306.7695667;359.5960797;306.7695667;5
462;671.9097784;306.847121;359.6132431;306.847121;5
463;673.3292404;306.9209188;359.6476049;306.9209188;5
464;674.7637542;307.0189838;359.6476049;307.0189838;5
465;676.1834131;307.1053555;359.6304182;307.1053555;5
466;677.6004555;307.2526656;359.6304182;307.2526656;5
467;679.0225262;307.4273177;359.6476049;307.4273177;5
468;680.448861;307.5826721;359.6304182;307.5826721;5
469;681.883175;307.718364;359.6992352;307.718364;5
470;683.316099;307.8382126;359.6648033;307.8382126;5
471;684.7328184;307.9295127;359.7164688;307.9295127;5
472;686.1468001;308.0294903;359.7164688;308.0294903;5
473;687.5668094;308.121485;362.6561869;308.121485;5
474;688.9913694;308.2201231;359.6992352;308.2201231;5
475;690.4173183;308.3064845;359.6992352;308.3064845;5
476;691.8428992;308.3762097;359.8374332;308.3762097;5
477;693.2557611;308.4609837;359.7855205;308.4609837;5
478;694.6685853;308.4885966;359.7337141;308.4885966;5
479;696.088437;308.5588264;359.7855205;308.5588264;5
480;697.5141418;308.6484929;336.0235149;308.6484929;5
482;700.3595972;308.7105915;359.7855205;308.7105915;5
483;701.7972606;308.7685449;359.8028129;308.7685449;5
484;703.2194374;308.8094066;359.8374332;308.8094066;5
485;704.6404828;308.8675871;359.8547611;308.8675871;5
486;706.0726315;308.9194157;359.8201172;308.9194157;5
487;707.4882432;308.9843511;359.8374332;308.9843511;5
488;708.9127916;309.0494536;359.8201172;309.0494536;5
489;710.353432;309.0951253;359.8721009;309.0951253;5
490;711.7717908;309.1147242;359.8721009;309.1147242;5
491;713.1930954;309.1692453;359.8721009;309.1692453;5
492;714.6183367;309.2129469;359.8201172;309.2129469;5
494;717.4516953;309.2852201;359.9589785;309.2852201;5
495;718.8685983;309.3401103;359.9068162;309.3401103;5
496;720.2817221;309.3467052;359.9241917;309.3467052;5
498;723.1225927;309.4458346;343.0643673;309.4458346;5
499;724.5377371;309.4679163;359.9589785;309.4679163;5
500;725.9553197;309.5187773;359.9589785;309.5187773;5
501;727.3945836;309.558653;359.9763898;309.558653;5
502;728.8168247;309.620807;359.9938132;309.620807;5
503;730.2315398;309.6742038;360.0461552;309.6742038;5
504;731.6528771;309.7366428;360.0112485;309.7366428;5
505;733.0714422;309.8081908;360.0112485;309.8081908;5
506;734.5125919;309.8934178;360.0636266;309.8934178;5
507;735.9318495;309.9631583;360.0286958;309.9631583;5
508;737.3562135;310.0489098;360.0636266;310.0489098;5
509;738.8515356;310.1462962;360.0986057;310.1462962;5
510;740.2665717;310.2326717;360.1161133;310.2326717;5
511;741.6858742;310.3147741;360.0986057;310.3147741;5
512;743.109868;310.4040199;360.0811101;310.4040199;5
513;744.5227057;310.4935817;360.1336331;310.4935817;5
514;745.9463264;310.5765364;360.0986057;310.5765364;5
515;747.3712779;310.6759789;360.1687091;310.6759789;5
516;748.7987308;310.7804669;360.1161133;310.7804669;5
517;750.241041;310.8900614;360.1687091;310.8900614;5
518;751.6677576;310.9743283;360.151165;310.9743283;5
519;753.0946787;311.0588767;360.1336331;311.0588767;5
520;754.5230392;311.1720491;360.151165;311.1720491;5
521;755.9428627;311.2833564;360.2038337;311.2833564;5
522;757.369423;311.3903879;360.2214143;311.3903879;5
523;758.7911174;311.5074504;360.1862653;311.5074504;5
